,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,shuffle,hebb,hebb_smooth_rate,shuffle,hebb,hebb_smooth_rate,shuffle,hebb,hebb_smooth_rate,shuffle
,800,800,800,800,1000,1000,1000,1000,1200,1200,1200,1200,1400,1400,1400,1400,1600,1600,1600,1600,1800,1800,1800,1800,2000,2000,2000,2000,2200,2200,2200,2200,2400,2400,2400,2600,2600,2600,2800,2800,2800,3000,3000,3000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,285.2941130271853,252.83783533002043,105.80740729228626,291.43749850988246,266.23809264305174,241.2638879322677,84.74576234657701,270.2857168807106,221.82608262982436,206.57510690967197,55.419213755571086,221.85333251953125,155.60439486734492,158.11494091596694,26.855359073739166,145.5980067245166,103.09356721232483,114.70833200877388,10.55741694567849,106.49152684834966,62.54054416298084,74.14486023790128,2.8555452653134505,53.08661462260042,28.699999863760773,44.21428677588914,0.0,21.907235611016905,20.713197876163772,23.453571406675852,0.0,18.58778656333659,7.312312272177754,17.0,9.054770384406517,5.024312850369493,8.341868138089508,1.7212588158219044,3.0034902360698394,2.221621539141681,2.036658647701629,0.16789106634134848,1.2823059234713396,0.0
100.0,427.16847726933474,361.03571379914496,140.64844193968696,432.66666298098187,418.2242971329155,355.7370900090622,123.16891888408787,416.1037033688053,343.0303037308904,313.0,65.46168337433974,350.70588367291987,255.0,246.16706391765342,33.05639155431713,229.51724183290253,160.4893675735342,191.68461330798033,12.17377457698452,177.44486668852022,103.15865458680263,112.50806468979478,3.4349973389933424,97.07449250752175,54.27699394304094,66.78306765108366,0.0,50.48549884452768,23.84556897000772,32.923566937016176,0.0,26.704607341173162,14.559670962779235,26.102849383949223,13.590114440890602,11.56824798703668,11.531540527101953,5.394878641762492,3.5323109487738824,8.639038538090222,2.6376202357602314,0.40185297521237995,1.8530821642658242,0.4782664734322472
150.0,498.7187487808156,415.7274016474351,163.83804499186067,502.82051332211745,510.1714235889089,417.1111069248738,142.5666707356771,500.34493515022166,416.6942167519988,370.86831017312073,74.24183518372838,425.8292519538519,316.9230724086529,291.1729327046262,36.9067086683189,293.15384013459055,203.1217384381655,234.62025340904702,12.687596396473246,215.70247923462352,137.6871908777943,138.75757505698923,3.883910994456153,127.449789632959,71.60606087851141,86.11459345231512,0.0,69.4520669830261,29.536642642252666,49.05240222391616,0.0,36.6581469195468,21.095761550696587,29.477139581019028,19.667178811737426,15.632389092232694,16.35595965005798,7.0,4.1073152379093365,11.323807344317213,3.0,0.6358148840834114,2.2602691594418896,1.0
200.0,566.250007335896,468.47948667788256,180.51442247735025,542.0,560.5356948228883,458.9059822371767,153.2446659344762,544.0,468.08461565548083,404.42592871675083,77.64048463208961,459.0,370.78048629202334,325.6197158883325,41.92450156228773,334.0,238.43254011504692,253.58209023207087,14.717946711530185,249.0,165.16791910940805,154.02591954682896,6.066776627211864,145.0,81.11513326306279,98.4777773068283,0.0,80.0,41.80051705940254,55.45437298205205,0.0,40.0,25.731974074428393,30.97767295865319,25.0,18.587354245972033,20.979592154493634,7.0,5.01073044254068,11.899977027414216,3.0,0.8697767929544429,2.6107528366497172,1.0
250.0,587.6510496267884,499.23253319118453,194.18862213897393,542.0,599.5914219974925,487.5500009536707,164.68188044109112,544.0,502.8831716199353,434.7542372724804,84.0115546807757,459.0,415.3098596089683,345.1953126862647,44.93579452995573,334.0,272.6527412022964,266.3139005781929,18.10670290094607,249.0,182.63333389847338,165.9763257521024,6.891178811092698,145.0,89.11861211738139,108.38650490526473,0.0,80.0,52.1543838452156,60.95110445778319,0.0,40.0,31.219415162956896,34.014719711535584,25.0,21.314784570392014,25.48930458374982,7.0,5.2901693168645645,12.432262882176092,3.0,3.049186604212215,2.9612365138575445,1.0
300.0,607.4840166104624,526.8036820919275,201.99329357362834,542.0,629.3185320906338,507.03296577997776,172.12478214356562,544.0,532.2865237604648,456.34198327332587,88.44519440053153,459.0,447.04477441982283,371.8491946113804,47.00973509438524,334.0,286.797863494065,283.4029194446239,18.531475678362177,249.0,195.29649615198588,178.90823734946085,9.075476991472774,145.0,104.68605393896381,118.46126056773662,0.0,80.0,59.314283578929015,63.107994016039086,0.0,40.0,35.00881132752749,38.81996583698095,25.0,22.065639677503494,29.812567132988725,7.0,5.569608191188449,12.955330168665576,3.0,3.527655573598407,4.046325892438801,1.0
350.0,620.2231996414968,540.941522555161,211.686817632206,542.0,642.9689791932398,527.1796427429302,176.08726759139853,544.0,566.3563891955068,474.14005712568525,92.37124506381836,459.0,466.028133122078,388.5515861242136,49.19570661478323,334.0,303.927887084232,290.5742918280008,18.956248455778287,249.0,207.58079616923956,188.47529087175027,11.020834552889534,145.0,115.67657733418903,124.52151147291818,0.0,80.0,65.04322988231077,67.43117753338967,0.0,40.0,36.13967463644375,41.035601068184285,25.0,22.475374992591302,32.63480804980038,7.0,5.849047065512332,15.084750139575593,3.0,4.001136551097434,4.490060390575192,1.0
400.0,635.5541755825512,555.5356650602031,215.1965887821506,542.0,656.7287396370016,536.9908345540365,176.9814018545209,544.0,588.1279477194028,482.06045001502156,93.74941285908797,459.0,488.6195487065583,400.30219494609054,50.02480340121563,334.0,319.7260718925942,304.3882139513728,19.315733898783915,249.0,218.7338572896013,202.887704811019,11.315941636378144,145.0,121.02173823762632,137.03935150027374,0.018462571675375256,80.0,71.56412463555405,72.84949528971084,0.007317489175364546,40.0,39.41329985892304,43.43113094093653,25.0,22.88511030767911,33.902591212283184,7.0,7.175696021330074,15.743772193323862,3.0,4.089927573319252,4.933794888711583,1.0
